case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T2_stone_wales,K3,R2,P4,K3/R2/P4,0.01,1024,768,444,0.001303780964797914,0.07745888705633944,0.07740278625424565,0.0007242655326686909,True,800,True,0.0,2.868077089108804,0.00016959496934315754,0.07565231876440612,False,1024,951,2,1,442,0,0,386,0.0,0,62,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,768,-0.053800987750790966
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,256,100,0.00392156862745098,0.07008869376682943,0.052744725994822314,0.24745742629627115,False,20000,True,1.328117263102991e-16,58.00283431609941,0.0005270783832943874,0.848042490729093,False,856,862,0,0,362,0,0,360,1.0,16,27,0,356,0,856,856,0.0,0.016853932584269662,1.0,256,
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,384,148,0.0026109660574412533,0.07059443310208027,0.05190423623027286,0.26475454296489914,False,20000,True,0.0,66.82948420458813,0.0017103174752969047,0.8588953427783337,False,856,862,0,0,361,0,0,362,1.0,16,27,0,356,0,856,856,0.0,0.014044943820224719,1.0,384,
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,512,198,0.0019569471624266144,0.0713874137342829,0.05201368708630713,0.2713885492488682,False,20000,True,2.656234526205982e-16,70.51326198912491,0.0007853709516194654,0.8626023593935545,False,856,862,0,0,361,0,0,365,1.0,16,27,0,356,0,856,856,0.0,0.014044943820224719,1.0,512,
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,768,296,0.001303780964797914,0.07168970824528223,0.0517725614958611,0.2778243521549252,False,20000,True,0.0,73.49401171945084,0.0007807046601566415,0.8660138207673906,False,856,862,0,0,364,0,0,362,1.0,16,27,0,356,0,856,856,0.0,0.02247191011235955,1.0,768,-0.33315405982373875
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,0.01,856,256,100,0.00392156862745098,0.05264100888826126,0.052575259669734614,0.0012490113680421288,True,800,True,0.0,3.5107050644670807,0.02993682036186991,0.0990284860284026,False,856,703,0,0,360,0,0,267,1.0,16,67,0,356,0,856,856,0.0,0.011235955056179775,1.0,256,
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,0.01,856,384,148,0.0026109660574412533,0.051806552798480884,0.05173838206469395,0.0013158708716271177,True,800,True,0.0,3.999172379768708,0.00435671554538741,0.10213484248330174,False,856,680,0,0,364,0,0,260,1.0,16,67,0,356,0,856,856,0.0,0.02247191011235955,1.0,384,
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,0.01,856,512,198,0.0019569471624266144,0.051894257185644284,0.051844638945417666,0.0009561412556521522,True,800,True,0.0,3.5252745928385125,0.001125289947087682,0.0872445546057721,False,856,696,0,0,368,0,0,256,1.0,16,67,0,356,0,856,856,0.0,0.033707865168539325,1.0,512,
T3_dislocation_dipole,K3,R2,P3,K3/R2/P3,0.01,856,768,296,0.001303780964797914,0.051651182062043076,0.05160259696872741,0.0009406385560993437,True,800,True,2.656234526205982e-16,3.5810125309483714,0.0008856301278274312,0.08661951149573806,False,856,702,0,0,356,0,0,268,1.0,16,66,0,356,0,856,856,0.0,0.0,1.0,768,-0.3344985207534849
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,0.01,856,256,100,0.00392156862745098,0.05264100888826126,0.052575259669734614,0.0012490113680421288,True,800,True,0.0,3.5107050644670807,0.02993682036186991,0.0990284860284026,False,856,703,0,0,360,0,0,267,1.0,16,67,0,356,0,856,856,0.0,0.011235955056179775,1.0,256,
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,0.01,856,384,148,0.0026109660574412533,0.051806552798480884,0.05173838206469395,0.0013158708716271177,True,800,True,0.0,3.999172379768708,0.00435671554538741,0.10213484248330174,False,856,680,0,0,364,0,0,260,1.0,16,67,0,356,0,856,856,0.0,0.02247191011235955,1.0,384,
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,0.01,856,512,198,0.0019569471624266144,0.051894257185644284,0.051844638945417666,0.0009561412556521522,True,800,True,0.0,3.5252745928385125,0.001125289947087682,0.0872445546057721,False,856,696,0,0,368,0,0,256,1.0,16,67,0,356,0,856,856,0.0,0.033707865168539325,1.0,512,
T3_dislocation_dipole,K3,R2,P4,K3/R2/P4,0.01,856,768,296,0.001303780964797914,0.051651182062043076,0.05160259696872741,0.0009406385560993437,True,800,True,2.656234526205982e-16,3.5810125309483714,0.0008856301278274312,0.08661951149573806,False,856,702,0,0,356,0,0,268,1.0,16,66,0,356,0,856,856,0.0,0.0,1.0,768,-0.3691916190080856
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,0.01,862,256,100,0.00392156862745098,0.06977967101370716,0.05272221253153476,0.24444739039858362,True,19800,True,1.3188728273969376e-16,59.219246322452115,0.0006604062514746697,0.8475174087277401,False,862,863,2,1,357,2,1,360,1.0,12,11,1,351,0,862,862,0.0,0.027932960893854747,3.0,256,
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,0.01,862,384,148,0.0026109660574412533,0.07045906146229507,0.05188854178746614,0.26356467556364793,True,14200,True,2.6377456547938753e-16,69.02259477282928,0.0006685899395879362,0.8593349759247642,False,862,864,1,1,355,1,0,356,0.5,11,19,1,351,0,862,862,0.0,0.01675977653631285,2.0,384,
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,0.01,862,512,198,0.0019569471624266144,0.07134637956727845,0.05200075934703704,0.2711506924047745,True,14600,True,1.3188728273969376e-16,72.68267960951756,0.0003748439334685742,0.8633502026770183,False,862,865,1,0,351,1,1,355,2.0,12,26,1,351,0,862,862,0.0,0.0,1.0,512,
T4_low_angle_gb,K2,R2,P3,K2/R2/P3,0.01,862,768,296,0.001303780964797914,0.07138179355115518,0.0517584645678308,0.27490663945367916,True,13200,True,1.3188728273969376e-16,75.34628888802385,0.0003365435632004648,0.8654638113709255,False,862,864,1,1,358,1,1,354,1.0,11,18,1,351,0,862,862,0.0,0.025139664804469275,2.0,768,-0.3333356324358397
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,0.01,862,256,100,0.00392156862745098,0.05266296765336185,0.0525750741918218,0.0016689804136861433,True,1000,True,2.6377456547938753e-16,4.149597097740651,0.026585428937979754,0.1156913155578881,False,862,675,2,1,357,1,0,252,0.3333333333333333,14,93,1,351,0,862,862,0.0,0.036312849162011177,3.0,256,
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,0.01,862,384,148,0.0026109660574412533,0.05184443797139071,0.05173854331552002,0.0020425461247960503,True,800,True,1.3188728273969376e-16,5.155321264371552,0.001639797353062392,0.12730340430344975,False,862,733,1,0,345,0,0,294,0.0,11,87,1,351,0,862,862,0.0,0.019553072625698324,1.0,384,
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,0.01,862,512,198,0.0019569471624266144,0.051910248013954705,0.05184454155538128,0.0012657704612731668,True,800,True,2.6377456547938753e-16,4.1729200848024295,0.0005091478017570758,0.10053992851981192,False,862,733,1,0,360,0,0,286,0.0,12,96,1,351,0,862,862,0.0,0.025139664804469275,1.0,512,
T4_low_angle_gb,K3,R2,P3,K3/R2/P3,0.01,862,768,296,0.001303780964797914,0.05165362752086976,0.05160212415311645,0.0009970910122914269,True,800,True,1.3188728273969376e-16,3.7815985774979124,0.00032261754693234667,0.08942902931121548,False,862,735,1,1,352,0,0,287,0.0,11,95,1,351,0,862,862,0.0,0.008379888268156424,2.0,768,-0.3345046184986952
T4_low_angle_gb,K3,R2,P4,K3/R2/P4,0.01,862,256,100,0.00392156862745098,0.05266296765336185,0.0525750741918218,0.0016689804136861433,True,1000,True,2.6377456547938753e-16,4.149597097740651,0.026585428937979754,0.1156913155578881,False,862,675,2,1,357,1,0,252,0.3333333333333333,14,93,1,351,0,862,862,0.0,0.036312849162011177,3.0,256,
T4_low_angle_gb,K3,R2,P4,K3/R2/P4,0.01,862,384,148,0.0026109660574412533,0.05184443797139071,0.05173854331552002,0.0020425461247960503,True,800,True,1.3188728273969376e-16,5.155321264371552,0.001639797353062392,0.12730340430344975,False,862,733,1,0,345,0,0,294,0.0,11,87,1,351,0,862,862,0.0,0.019553072625698324,1.0,384,
