case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,384,222,0.0026109660574412533,0.08944601453512707,0.07774054357978306,0.13086632217410935,True,9000,True,2.222616573247625e-16,40.87477767632235,0.000361010261526951,0.7415304971406432,False,1007,994,0,0,437,0,0,410,1.0,3,90,0,456,0,1023,1007,0.015640273704789834,0.041666666666666664,1.0,384,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.08954166863003868,0.07763969542136138,0.13292105665188064,True,8600,True,0.0,42.50381238457461,0.0003306800034718972,0.7444914523953038,False,1007,999,0,0,440,0,0,417,1.0,3,87,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,512,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,768,444,0.001303780964797914,0.08796305145615416,0.0775232643919093,0.11868377564696743,True,7600,True,3.333924859871438e-16,40.71665189922781,0.0002581214448376438,0.7232255846106581,False,1007,981,0,0,432,0,0,414,1.0,3,91,0,456,0,1023,1007,0.015640273704789834,0.05263157894736842,1.0,768,-0.0002009388491100014
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,256,148,0.00392156862745098,0.10245296116419421,0.08952030040221921,0.12623022912191598,True,8600,True,1.1113082866238126e-16,39.008475510423814,0.0008110599258225931,0.7343859853345264,False,997,978,0,0,423,0,0,403,1.0,3,68,0,456,0,1023,997,0.02541544477028348,0.07236842105263158,1.0,256,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,384,222,0.0026109660574412533,0.09358823927393294,0.08249412666386514,0.11854173874983698,True,7600,True,2.222616573247625e-16,39.54884175848243,0.00035447953357147476,0.7228780207150624,False,1007,989,0,0,437,0,0,408,1.0,3,102,0,456,0,1023,1007,0.015640273704789834,0.041666666666666664,1.0,384,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.09358715844317554,0.08228109099031249,0.12080789331506307,True,7400,True,0.0,41.18740355613058,0.00031917436000023956,0.7265436864713766,False,1007,994,0,0,440,0,0,416,1.0,3,88,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,512,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,768,444,0.001303780964797914,0.0896821004595327,0.07948656351912936,0.11368530496231943,True,7000,True,3.333924859871438e-16,40.07013527224639,0.0002478423794408171,0.7150248504949659,False,1007,978,0,0,432,0,0,407,1.0,3,78,0,456,0,1023,1007,0.015640273704789834,0.05263157894736842,1.0,768,-0.028321921734694198
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,256,148,0.00392156862745098,0.09793759719198228,0.07802303411479951,0.2033393063354947,True,14400,True,2.220446049250313e-16,49.109744536940674,0.0007139009409485291,0.818525299651558,False,1024,1026,2,1,439,2,1,426,1.0,0,16,2,446,1,1024,1024,0.0,0.015590200445434299,1.0,256,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,384,222,0.0026109660574412533,0.09975244552444715,0.07783073549378794,0.2197611288165028,True,13600,True,2.220446049250313e-16,55.99294963564203,0.0003423561608279425,0.8310504234511782,False,1024,1031,2,1,442,2,1,432,1.0,0,21,2,446,1,1024,1024,0.0,0.008908685968819599,1.0,384,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,512,296,0.0019569471624266144,0.10024089961201951,0.07773244865670928,0.2245435849281956,True,13000,True,0.0,58.46453007177513,0.0002850225885225852,0.8344374826584453,False,1024,1031,2,1,429,2,1,437,1.0,0,22,2,446,1,1024,1024,0.0,0.0378619153674833,1.0,512,
T2_stone_wales,K2,R2,P3,K2/R2/P3,0.01,1024,768,444,0.001303780964797914,0.10074629091721213,0.07763384584530737,0.2294123670607121,True,12600,True,1.1102230246251565e-16,60.55561475846632,0.0002069688741993599,0.8377979008178504,False,1024,1031,2,1,436,2,1,439,1.0,0,22,2,446,1,1024,1024,0.0,0.022271714922048998,1.0,768,-3.89653473658064e-05
