case,K,R,P,protocol,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,seed
T2_stone_wales,K1,R2,P1,K1/R2/P1,400,96,56,0.010526315789473684,26778821192.180004,5.958211827019095e+23,-22249716610971.49,False,200,1.4210854715202004e-16,46549.434147755725,0.06025026043707517,1015.243545875564,False,1031,34,0,0,0,0,0,0,1.0,942,6,0
T2_stone_wales,K1,R2,P2,K1/R2/P2,400,96,56,0.010526315789473684,7553421.962642583,4.5736221935467945e+18,-605503335595.3475,False,200,1.4210854715202004e-16,147.45778980667367,0.364236467552594,886.0163929801846,False,3,6,0,0,0,0,0,0,1.0,0,0,0
T2_stone_wales,K1,R2,P3,K1/R2/P3,400,96,56,0.010526315789473684,0.09316824324880721,0.08309811391250378,0.10808542680590202,False,400,1.4210854715202004e-16,19.66632921809879,0.060250260437075154,0.40717472948263456,False,910,1144,0,0,0,0,0,0,1.0,851,978,0
T2_stone_wales,K1,R2,P4,K1/R2/P4,400,96,56,0.010526315789473684,0.1149742172562231,0.10758300641467211,0.06428581135785844,False,400,1.4210854715202004e-16,16.41888256672801,0.11275580710678602,0.3725382685616199,False,910,1190,0,0,0,0,0,0,1.0,851,1003,0
T2_stone_wales,K2,R2,P1,K2/R2/P1,400,96,56,0.010526315789473684,559041685564.4996,2.081187701375282e+29,-3.722777308231989e+17,False,200,0.0,87306.23559911046,0.5905809138626986,18003.149675464992,False,533,319,0,0,0,0,0,0,1.0,277,257,0
T2_stone_wales,K2,R2,P2,K2/R2/P2,400,96,56,0.010526315789473684,1790163.2366605836,8.613198478128894e+16,-48114039555.50534,False,200,0.0,81.06203900009572,0.46885062260121285,516.7995672407579,False,2,6,0,0,0,0,0,0,1.0,0,0,0
T2_stone_wales,K2,R2,P3,K2/R2/P3,400,96,56,0.010526315789473684,0.08689747761165542,0.08046808974618326,0.07398819899243884,False,400,0.0,12.816882131658655,0.5905809138626987,0.4920785871222719,False,623,1311,0,0,0,0,0,0,1.0,547,1010,0
T2_stone_wales,K2,R2,P4,K2/R2/P4,400,96,56,0.010526315789473684,0.08689747761165542,0.08046808974618326,0.07398819899243884,False,400,0.0,12.816882131658655,0.5905809138626987,0.4920785871222719,False,623,1311,0,0,0,0,0,0,1.0,547,1010,0
T2_stone_wales,K3,R2,P1,K3/R2/P1,400,96,56,0.010526315789473684,732523143928.1702,2.412616793200787e+30,-3.293570739981102e+18,False,200,0.0,88758.71535941488,0.6126880517607927,24927.018452864588,False,378,59,0,2,63,0,0,0,0.0,120,12,0
T2_stone_wales,K3,R2,P2,K3/R2/P2,400,96,56,0.010526315789473684,517706.47416314686,2407867804093743.5,-4651028958.96418,False,200,0.0,64.33094128413066,0.47884979483217166,284.1911117197638,False,2,6,0,0,0,0,0,0,1.0,0,0,0
T2_stone_wales,K3,R2,P3,K3/R2/P3,400,96,56,0.010526315789473684,0.083060669521716,0.07996675465970408,0.0372488553225906,False,400,0.0,8.729376621352221,0.6126880517607929,0.39311226193910215,False,513,1317,0,0,0,0,0,0,1.0,263,1010,0
T2_stone_wales,K3,R2,P4,K3/R2/P4,400,96,56,0.010526315789473684,0.083060669521716,0.07996675465970408,0.0372488553225906,False,400,0.0,8.729376621352221,0.6126880517607929,0.39311226193910215,False,513,1317,0,0,0,0,0,0,1.0,263,1010,0
T2_stone_wales,K4,R2,P1,K4/R2/P1,400,96,56,0.010526315789473684,6355308918.248037,7.187793598086418e+19,-11309904349.122244,False,200,0.0,5373.929018054533,0.0839772418096826,125.7312786122165,False,1070,34,0,0,0,0,0,0,1.0,642,0,0
T2_stone_wales,K4,R2,P2,K4/R2/P2,400,96,56,0.010526315789473684,8.741619006995128e-05,3.801438897345409e-05,0.565133312913379,False,400,0.0,0.1774506218175594,0.12890801656978979,0.4711110312370636,False,13,22,0,0,0,0,0,0,1.0,4,5,0
T2_stone_wales,K4,R2,P3,K4/R2/P3,400,96,56,0.010526315789473684,0.08467808165618514,0.08255264832324012,0.025100159230989936,False,400,0.0,5.163484462252553,0.08397724180968259,0.22542287033165329,False,378,525,0,0,0,0,0,0,1.0,178,260,0
T2_stone_wales,K4,R2,P4,K4/R2/P4,400,96,56,0.010526315789473684,0.09179823558762255,0.09006394099768576,0.018892461046066462,False,400,0.0,4.860605765131656,0.09354133363571276,0.2082301757318489,False,378,522,0,0,0,0,0,0,1.0,178,265,0
T2_stone_wales,K3,R1,P2,K3/R1/P2,400,96,56,0.010526315789473684,517706.47416314686,2407867804093743.5,-4651028958.96418,False,200,0.0,64.33094128413066,0.47884979483217166,284.1911117197638,True,2,6,0,0,0,0,0,0,1.0,0,0,0
T2_stone_wales,K3,R3,P2,K3/R3/P2,400,96,56,0.010526315789473684,2.498128055356486,2.4981140272118196,5.6154626005879016e-06,True,200,0.0,0.35512065456875247,0.754446044707105,0.004384619619948546,False,0,0,0,0,0,0,0,0,1.0,0,0,0
