config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
h1_1.15,T5_high_angle_gb,K3/R2/P4,good,1.15,0.6,0.1,0.034759358288770054,0.06417112299465241,True,0.7672048008193341
h1_1.15,T5_high_angle_gb,K4/R2/P3,bad,1.15,0.6,0.1,1.0641711229946524,1.5080213903743316,True,0.773509857335077
h2_0.40,T0_pristine,K1/R2/P3,bad,1.05,0.4,0.1,2.651685393258427,0.8539325842696629,True,0.8266057255156127
h2_0.40,T0_pristine,K2/R2/P3,good,1.05,0.4,0.1,0.02247191011235955,0.02247191011235955,True,0.8689059221456618
h2_0.40,T0_pristine,K3/R2/P3,good,1.05,0.4,0.1,0.008988764044943821,0.02247191011235955,True,0.6488145029265502
h2_0.40,T0_pristine,K3/R2/P4,good,1.05,0.4,0.1,0.008988764044943821,0.02696629213483146,True,0.6232215074978382
h2_0.40,T0_pristine,K4/R2/P3,bad,1.05,0.4,0.1,1.5707865168539326,1.7730337078651686,True,1.0112670683545066
h2_0.40,T1_vacancy,K1/R2/P3,bad,1.05,0.4,0.1,2.892543859649123,0.7192982456140351,True,1.0505963907122324
h2_0.40,T1_vacancy,K2/R2/P3,good,1.05,0.4,0.1,0.015350877192982455,0.008771929824561403,True,0.8676522829048441
h2_0.40,T1_vacancy,K3/R2/P3,good,1.05,0.4,0.1,0.03508771929824561,0.02631578947368421,True,0.6321172217906329
h2_0.40,T1_vacancy,K3/R2/P4,good,1.05,0.4,0.1,0.03508771929824561,0.008771929824561403,True,0.6120193582597284
h2_0.40,T1_vacancy,K4/R2/P3,bad,1.05,0.4,0.1,1.4824561403508771,1.7521929824561404,True,1.101464321069107
h2_0.40,T2_stone_wales,K1/R2/P3,bad,1.05,0.4,0.1,2.694877505567929,1.3853006681514477,True,0.7836066457743165
h2_0.40,T2_stone_wales,K2/R2/P3,good,1.05,0.4,0.1,0.0378619153674833,0.013363028953229399,True,0.8679842218296665
h2_0.40,T2_stone_wales,K3/R2/P3,good,1.05,0.4,0.1,0.0378619153674833,0.0200445434298441,True,0.6827020869642758
h2_0.40,T2_stone_wales,K3/R2/P4,good,1.05,0.4,0.1,0.0378619153674833,0.015590200445434299,True,0.6469345727337754
h2_0.40,T2_stone_wales,K4/R2/P3,bad,1.05,0.4,0.1,1.3697104677060135,1.621380846325167,True,1.0897637476986046
h2_0.40,T3_dislocation_dipole,K1/R2/P3,bad,1.05,0.4,0.1,2.292134831460674,2.4634831460674156,True,0.6477417018150893
h2_0.40,T3_dislocation_dipole,K2/R2/P3,good,1.05,0.4,0.1,0.014044943820224719,0.033707865168539325,True,1.2136411789310193
h2_0.40,T3_dislocation_dipole,K3/R2/P3,good,1.05,0.4,0.1,0.008426966292134831,0.03651685393258427,True,0.7607844078734116
h2_0.40,T3_dislocation_dipole,K3/R2/P4,good,1.05,0.4,0.1,0.008426966292134831,0.016853932584269662,True,0.694396788875047
