case,K,R,P,protocol,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,seed,Ef_rel
T1_vacancy,K3,R2,P3,K3/R2/P3,1023,110,64,0.009174311926605505,0.08452517374974199,0.07959517463179244,0.05832580874126381,False,300,0.0,13.98251689512188,0.3562921786938395,0.4726901334993417,False,986,971,0,0,166,0,0,120,1.0,387,438,0,3.0455151823783792e-05
T1_vacancy,K3,R2,P4,K3/R2/P4,1023,110,64,0.009174311926605505,0.08448029802406139,0.07954617804343517,0.05840557024575009,False,300,0.0,13.991920707997613,0.3563692249629215,0.47289059447638465,False,986,970,0,0,166,0,0,120,1.0,387,438,0,0.0001090963822746738
T1_vacancy,K4,R2,P1,K4/R2/P1,1023,110,64,0.009174311926605505,270134304637.18832,3.751500154486885e+24,-13887537014320.248,False,200,0.0,20590.50626706205,0.0706707064540889,1053.9553543822176,False,612,809,0,0,0,0,0,0,1.0,416,521,0,-0.00011471962965740988
T1_vacancy,K4,R2,P2,K4/R2/P2,1023,110,64,0.009174311926605505,5.779401990306959e-05,4.234405540737499e-05,0.26732808206812436,False,300,0.0,0.07881020535184188,0.02888310310971456,0.2689226951817628,False,0,278,0,0,0,0,0,0,1.0,0,207,0,nan
T1_vacancy,K4,R2,P3,K4/R2/P3,1023,110,64,0.009174311926605505,0.09292567900832198,0.08645767492563505,0.06960405510846665,False,300,0.0,13.257492936546873,0.07067070645408893,0.31180489179027454,False,440,471,0,0,0,0,0,0,1.0,305,313,0,1.942729043718832e-06
T1_vacancy,K4,R2,P4,K4/R2/P4,1023,110,64,0.009174311926605505,0.11038653064228132,0.10553180915645345,0.04397929219788676,False,300,0.0,12.030136139585759,0.08250523602653898,0.2915344942239909,False,440,495,0,0,0,0,0,0,1.0,305,357,0,0.0005439009008513696
T1_vacancy,K3,R1,P2,K3/R1/P2,1023,110,64,0.009174311926605505,0.000629185064624551,9.673922347752838e-05,0.8462467898292296,False,300,0.0,0.7453616584527389,0.396713878041893,0.7503044865900232,True,992,789,0,0,187,0,0,18,1.0,380,538,0,0.41955804192821816
T1_vacancy,K3,R3,P2,K3/R3/P2,1023,110,64,0.009174311926605505,2.4856662388148,2.485660965994204,2.121290667994651e-06,True,200,0.0,0.2731382306476186,0.7002396554963511,0.0029578227343123728,False,0,0,0,0,0,0,0,0,1.0,0,0,0,4.7282901773824146e-06
T2_stone_wales,K1,R2,P1,K1/R2/P1,1024,110,64,0.009174311926605505,739604305524.9448,2.6811370177351006e+27,-3625096551908421.5,False,200,0.0,137598.01877473234,0.03277039470280512,5845.272462083334,False,904,1040,0,0,79,9,5,98,nan,478,592,0,0.006014492140607949
T2_stone_wales,K1,R2,P2,K1/R2/P2,1024,110,64,0.009174311926605505,117772.9231683232,27324399706564.734,-232009182.19325578,False,200,0.0,78.53730613196797,0.43540253353536723,135.3381600938917,False,636,715,2,0,1,3,0,5,1.5,459,521,0,364879230103136.9
T2_stone_wales,K1,R2,P3,K1/R2/P3,1024,110,64,0.009174311926605505,0.11179578535424901,0.08249766366387835,0.26206821301476846,False,300,0.0,41.52485052942058,0.03277039470280512,0.6084468605923123,False,902,863,0,0,79,0,0,65,1.0,478,485,0,-1.7448826179834072e-05
T2_stone_wales,K1,R2,P4,K1/R2/P4,1024,110,64,0.009174311926605505,0.1821552917373181,0.16945211066891427,0.0697381939731006,False,300,0.0,26.57786320635034,0.14042019022535784,0.4623856962423102,False,902,835,0,0,79,3,0,106,nan,478,334,0,-0.003344869854142722
T2_stone_wales,K2,R2,P1,K2/R2/P1,1024,110,64,0.009174311926605505,1661387875026.7974,2.3048738040189996e+30,-1.3873183009607695e+18,False,200,0.0,136469.03258490525,0.34021781194807654,25316.36832436954,False,996,747,0,0,174,1,0,2,nan,388,405,0,0.010117278004513635
T2_stone_wales,K2,R2,P2,K2/R2/P2,1024,110,64,0.009174311926605505,0.025184820252289464,0.0016608432904783995,0.9340537961422449,False,300,0.0,2.396088463043039,0.3445244887735764,0.7816977081689199,False,4,559,0,0,0,0,0,0,1.0,0,382,0,0.9340798029020279
T2_stone_wales,K2,R2,P3,K2/R2/P3,1024,110,64,0.009174311926605505,0.09452785267558425,0.08047968026418029,0.14861410699359395,False,300,0.0,23.67121182842256,0.34021781194807654,0.6119849340478487,False,996,965,0,0,174,0,0,131,1.0,388,377,0,5.5639497035640226e-05
T2_stone_wales,K2,R2,P4,K2/R2/P4,1024,110,64,0.009174311926605505,0.10589430207883353,0.09342064691722131,0.11779344985272343,False,300,0.0,21.5088453688492,0.41988519409328146,0.5959084690951278,False,996,1008,0,0,174,0,0,133,1.0,388,419,0,0.000142201783308863
T2_stone_wales,K3,R2,P1,K3/R2/P1,1024,110,64,0.009174311926605505,5012486663927.578,2.070161007612266e+36,-4.1300080108146826e+23,False,200,0.0,140071.54802797895,0.3872170162327123,202956.703908457,False,988,776,0,0,165,7,0,1,nan,387,491,0,126931.42940412792
T2_stone_wales,K3,R2,P2,K3/R2/P2,1024,110,64,0.009174311926605505,18.000741123596672,47.332211087882115,-1.629459018542055,False,200,0.0,3.408358400510319,0.618480734240796,2.417657593321394,False,4,88,0,0,0,0,0,0,1.0,0,73,0,694555.1322151282
T2_stone_wales,K3,R2,P3,K3/R2/P3,1024,110,64,0.009174311926605505,0.07971173882668868,0.0791776553299309,0.006700186253859003,False,300,0.0,4.460399288356472,0.3872170162327124,0.19101283515999984,False,997,979,0,0,167,0,0,121,1.0,387,438,0,-0.005215239947241869
T2_stone_wales,K3,R2,P4,K3/R2/P4,1024,110,64,0.009174311926605505,0.07971173882668868,0.0791776553299309,0.006700186253859003,False,300,0.0,4.460399288356472,0.3872170162327124,0.19101283515999984,False,997,979,0,0,167,0,0,121,1.0,387,438,0,-0.004524223873512424
