case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T0_pristine,K3,R1,P2,K3/R1/P2,0.01,1024,512,296,0.0019569471624266144,545126.9530891606,5.213402225214388e+18,-9563647872610.59,False,200,2.220446049250313e-16,737.8204206927855,0.016396831473986576,1048.0311316788668,True,385,495,0,0,6,0,0,0,1.0,237,326,
T0_pristine,K3,R3,P2,K3/R3/P2,0.01,1024,512,296,0.0019569471624266144,2.443778162631908,2.443778161677119,3.907020494913023e-10,True,200,2.220446049250313e-16,0.01139788947981844,0.04921363518396884,3.92787977413022e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,
T1_vacancy,K1,R2,P1,K1/R2/P1,0.01,1023,512,296,0.0019569471624266144,421469714934.3586,3.2301663531347983e+26,-766405328467758.0,False,200,1.1113082866238126e-16,99071.22212475097,8.333832063589806e-05,3195.473355454898,False,534,1071,0,0,0,2,5,38,nan,361,675,
T1_vacancy,K1,R2,P2,K1/R2/P2,0.01,1023,512,296,0.0019569471624266144,0.03324409780744248,0.0015654398107170409,0.9529107446445251,False,20000,1.1113082866238126e-16,45.30809486474937,0.00015169046018320833,0.983856555029833,False,498,163,0,0,0,0,0,0,1.0,345,77,
T1_vacancy,K1,R2,P3,K1/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.09658412868669247,0.07767948995957658,0.19573235255287455,True,19800,1.1113082866238126e-16,38.8359134758791,8.333832063589805e-05,0.8108980007741827,False,518,457,0,0,0,0,0,4,1.0,361,325,
T1_vacancy,K1,R2,P4,K1/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.1238769434972315,0.11346628775745014,0.08404030197931077,True,4200,1.1113082866238126e-16,31.031070003306123,0.000373653642302659,0.6549378231517732,False,518,438,0,0,0,0,0,2,1.0,361,312,
T1_vacancy,K2,R2,P1,K2/R2/P1,0.01,1023,512,296,0.0019569471624266144,2663371547690.542,2.1095163190997333e+32,-7.920473284806746e+19,False,200,4.44523314649525e-16,337358.2790504031,0.00035187021056077395,60183.8824833904,False,1023,971,0,0,449,0,0,133,1.0,3,395,
T1_vacancy,K2,R2,P2,K2/R2/P2,0.01,1023,512,296,0.0019569471624266144,288849.40227213915,1.6249904238713866e+19,-56257358024247.34,False,200,4.44523314649525e-16,661.3814164611631,0.025117536801536805,1711.5517207292291,False,356,694,0,0,0,0,0,0,1.0,216,538,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.10024008532990165,0.07773212982144183,0.22454046636516276,True,13600,4.44523314649525e-16,58.248813575514305,0.00035187021056077374,0.8343716896459282,False,1023,1031,0,0,449,0,0,450,1.0,3,18,
T1_vacancy,K2,R2,P4,K2/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.12296088446439388,0.10445326651590174,0.15051630466964833,True,6800,4.44523314649525e-16,52.6345265855847,0.0003704201973614465,0.7668468426098327,False,1023,1035,0,0,449,0,0,442,1.0,3,39,
T1_vacancy,K3,R2,P1,K3/R2/P1,0.01,1023,512,296,0.0019569471624266144,2946235635204.6187,6.174728257875397e+32,-2.0958025841835144e+20,False,200,0.0,344240.08599528874,0.0003306800034718971,70589.29379135405,False,1007,966,0,0,440,6,0,63,nan,3,512,
T1_vacancy,K3,R2,P2,K3/R2/P2,0.01,1023,512,296,0.0019569471624266144,2571.320398248117,94753063604197.4,-36849963803.104004,False,200,0.0,477.16080389326225,0.01784342967869526,158.41134256722734,False,389,402,0,0,0,1,0,7,nan,252,263,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.08954166863003868,0.07763969542136138,0.13292105665188064,True,8600,0.0,42.50381238457461,0.0003306800034718972,0.7444914523953038,False,1007,999,0,0,440,0,0,417,1.0,3,87,
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.09358715844317554,0.08228109099031249,0.12080789331506307,True,7400,0.0,41.18740355613058,0.00031917436000023956,0.7265436864713766,False,1007,994,0,0,440,0,0,416,1.0,3,88,
