case,protocol,lam,k1,n5_gt,n7_gt,ringL1_init,ringL1_relaxed,n5_init,n7_init,n5_relaxed,n7_relaxed,healthy,nmax
T3_dislocation_dipole,K4/R2/P3,0.0,226.1498134137883,0,0,2.3230337078651684,2.615168539325843,2,0,1,0,True,0.9129533792912341
T3_dislocation_dipole,K4/R2/P3,0.01,226.1498134137883,0,0,2.3230337078651684,2.6235955056179776,2,0,1,0,True,0.9129359701988515
T4_low_angle_gb,K1/R2/P3,0.0,226.1498134137883,1,0,2.2486033519553073,2.4329608938547485,4,0,1,1,True,0.5882847384883478
T4_low_angle_gb,K1/R2/P3,0.01,226.1498134137883,1,0,2.2486033519553073,2.4804469273743015,4,0,1,1,True,0.5895643626899767
T4_low_angle_gb,K2/R2/P3,0.0,226.1498134137883,1,0,0.0,0.019553072625698324,1,0,0,0,True,1.2918782045344197
T4_low_angle_gb,K2/R2/P3,0.01,226.1498134137883,1,0,0.0,0.0223463687150838,1,0,0,0,True,1.2908048192829997
T4_low_angle_gb,K3/R2/P3,0.0,226.1498134137883,1,0,0.0,0.0223463687150838,1,0,0,0,True,0.848727958330717
T4_low_angle_gb,K3/R2/P3,0.01,226.1498134137883,1,0,0.0,0.01675977653631285,1,0,0,0,True,0.8493590231073063
T4_low_angle_gb,K3/R2/P4,0.0,226.1498134137883,1,0,0.0,0.0223463687150838,1,0,0,0,True,0.7561411975574843
T4_low_angle_gb,K3/R2/P4,0.01,226.1498134137883,1,0,0.0,0.025139664804469275,1,0,0,0,True,0.7576759198685882
T4_low_angle_gb,K4/R2/P3,0.0,226.1498134137883,1,0,1.0307262569832403,1.2513966480446927,1,2,0,1,True,0.6010081229538388
T4_low_angle_gb,K4/R2/P3,0.01,226.1498134137883,1,0,1.0307262569832403,1.2569832402234637,1,2,0,1,True,0.6007157635804027
T5_high_angle_gb,K1/R2/P3,0.0,226.1498134137883,1,0,2.0294117647058822,1.9893048128342246,5,0,9,0,True,0.4906626725672164
T5_high_angle_gb,K1/R2/P3,0.01,226.1498134137883,1,0,2.0294117647058822,1.9786096256684491,5,0,9,0,True,0.4917070652857122
T5_high_angle_gb,K2/R2/P3,0.0,226.1498134137883,1,0,0.0106951871657754,0.0481283422459893,1,0,0,0,True,1.2840892085916416
T5_high_angle_gb,K2/R2/P3,0.01,226.1498134137883,1,0,0.0106951871657754,0.05080213903743316,1,0,0,0,True,1.2830661850580563
T5_high_angle_gb,K3/R2/P3,0.0,226.1498134137883,1,0,0.034759358288770054,0.05080213903743316,1,0,0,0,True,0.749124488543462
T5_high_angle_gb,K3/R2/P3,0.01,226.1498134137883,1,0,0.034759358288770054,0.06951871657754011,1,0,0,0,True,0.7498015767640249
T5_high_angle_gb,K3/R2/P4,0.0,226.1498134137883,1,0,0.034759358288770054,0.05614973262032086,1,0,0,0,True,0.6928841800201309
T5_high_angle_gb,K3/R2/P4,0.01,226.1498134137883,1,0,0.034759358288770054,0.06417112299465241,1,0,0,0,True,0.6941046478473862
T5_high_angle_gb,K4/R2/P3,0.0,226.1498134137883,1,0,1.0641711229946524,1.4839572192513368,5,3,10,3,True,0.7726549783846456
T5_high_angle_gb,K4/R2/P3,0.01,226.1498134137883,1,0,1.0641711229946524,1.4839572192513368,5,3,10,4,True,0.7726218325772825
