case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,Ef_rel
T1_vacancy,K2,R2,P4,K2/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.12296088446439388,0.1044539726143456,0.1505105622057182,True,6800,True,4.44523314649525e-16,52.6345265855847,0.0003704201973614465,0.7668195916874819,False,1023,1041,0,0,449,0,0,434,1.0,3,65,0,456,0,1023,1023,0.0,0.015350877192982455,1.0,-0.000839435209846707
T1_vacancy,K3,R2,P1,K3/R2/P1,0.01,1023,512,296,0.0019569471624266144,2946235635204.6187,6.17471290459692e+32,-2.0957973730326158e+20,False,200,False,0.0,344240.08599528874,0.0003306800034718971,70589.24399951239,False,1007,966,0,0,440,6,0,63,nan,3,512,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,nan
T1_vacancy,K3,R2,P2,K3/R2/P2,0.01,1023,512,296,0.0019569471624266144,2571.320398248117,94752984125423.0,-36849932893.39145,False,200,False,0.0,477.16080389326225,0.01784342967869526,158.41130206694754,False,389,402,0,0,0,2,0,6,nan,252,263,0,456,0,1023,389,0.6197458455522972,2.199561403508772,1.0,nan
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.08954166863003868,0.07764032263229317,0.13291405196968759,True,8600,True,0.0,42.50381238457461,0.0003306800034718972,0.7444600879117634,False,1007,1020,0,0,440,0,0,398,1.0,3,165,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,-0.0001068649894621222
T1_vacancy,K3,R2,P4,K3/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.09358715844317554,0.08228164463992897,0.12080197744342325,True,7400,True,0.0,41.18740355613058,0.00031917436000023956,0.726514831849156,False,1007,1004,0,0,440,0,0,401,1.0,3,153,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,-0.01295729483037986
T1_vacancy,K4,R2,P1,K4/R2/P1,0.01,1023,512,296,0.0019569471624266144,257327149727.15726,5.580271063530215e+27,-2.168551227278952e+16,False,200,False,3.333924859871438e-16,7719.358520357585,0.008670234301961417,3866.5247579003258,False,324,860,0,4,8,0,2,11,0.5,172,463,0,456,0,1023,324,0.6832844574780058,1.4824561403508771,nan,nan
T1_vacancy,K4,R2,P2,K4/R2/P2,0.01,1023,512,296,0.0019569471624266144,0.006064919934569968,0.0003415293924787174,0.9436877327049276,False,20000,True,3.333924859871438e-16,5.994685681333019,0.011353593856819695,0.9431936342561774,False,367,48,1,0,1,0,0,0,0.0,243,17,0,456,0,1023,367,0.6412512218963832,1.9078947368421053,nan,-0.7780154712031572
T1_vacancy,K4,R2,P3,K4/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.11095816647324257,0.08021522025042357,0.2770679004526685,False,20000,True,3.333924859871438e-16,9.757771257168146,0.008670234301961413,0.7922714910653128,False,324,47,0,4,8,0,0,0,0.0,172,15,0,456,0,1023,324,0.6832844574780058,1.4824561403508771,nan,-0.00467023933288977
T1_vacancy,K4,R2,P4,K4/R2/P4,0.01,1023,512,296,0.0019569471624266144,0.15805499935845804,0.1535500475119642,0.028502431841949703,True,15600,True,3.333924859871438e-16,6.810686186788038,0.011501447892236883,0.4317639225501806,False,324,81,0,4,8,0,0,0,0.0,172,34,0,456,0,1023,324,0.6832844574780058,1.4824561403508771,nan,0.02196565140656121
T1_vacancy,K3,R1,P2,K3/R1/P2,0.01,1023,512,296,0.0019569471624266144,557.582165390469,9953719790.629751,-17851573.904048923,False,200,False,0.0,381.62129078233204,0.007348257114925356,33.2949149243795,True,400,429,0,0,0,5,0,0,nan,230,282,0,456,0,1023,400,0.6089931573802542,2.2653508771929824,1.0,nan
T1_vacancy,K3,R3,P2,K3/R3/P2,0.01,1023,512,296,0.0019569471624266144,2.4437796731510515,2.4437796722102725,3.849688335597657e-10,True,200,True,0.0,0.011309469996924794,0.044673001641049655,3.8998190075698394e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,0,456,0,1023,0,1.0,1.0,1.0,6.18138784447877e-07
T2_stone_wales,K1,R2,P1,K1/R2/P1,0.01,1024,512,296,0.0019569471624266144,445001942810.4552,1.253465935067628e+27,-2816765084554992.0,False,200,False,0.0,103509.75979654118,8.282610549317203e-05,3651.102376809466,False,507,1030,2,0,0,3,2,53,2.5,357,624,2,446,1,1024,507,0.5048828125,2.750556792873051,0.6666666666666666,nan
T2_stone_wales,K1,R2,P2,K1/R2/P2,0.01,1024,512,296,0.0019569471624266144,0.036279599026993216,0.0013497315069204055,0.9627964050562917,False,20000,True,0.0,48.5273238614209,0.00014550964805588672,0.9849496272916551,False,487,176,1,0,0,0,1,0,1.0,346,103,2,446,1,1024,487,0.5244140625,2.6770601336302895,0.3333333333333333,0.12294999103304427
