family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K1,wide,k_cut,90.0,0.011111111111111112,1.2238459768053498,1.334075723830735,1.2853932584269663,1.3179824561403508,1.334075723830735,1.1629213483146068,1.1731843575418994,1.0695187165775402
K1,wide,k_cut,100.0,0.01,1.2599568774841368,1.355056179775281,1.355056179775281,1.3486842105263157,1.311804008908686,1.2668539325842696,1.170391061452514,1.106951871657754
K1,wide,k_cut,110.0,0.00909090909090909,1.3126842936195675,1.4337078651685393,1.4337078651685393,1.3596491228070176,1.4097995545657016,1.2921348314606742,1.276536312849162,1.1042780748663101
K1,wide,k_cut,120.0,0.008333333333333333,1.4366671117287941,1.6179775280898876,1.6179775280898876,1.4605263157894737,1.512249443207127,1.396067415730337,1.3631284916201116,1.2700534759358288
K1,wide,k_cut,125.0,0.008,1.4539076774282211,1.6741573033707866,1.6741573033707866,1.4714912280701755,1.5612472160356348,1.3876404494382022,1.388268156424581,1.2406417112299466
K1,wide,k_cut,130.0,0.007692307692307693,1.5055922409464324,1.6674157303370787,1.6674157303370787,1.5570175438596492,1.6124721603563474,1.4887640449438202,1.4217877094972067,1.286096256684492
K1,wide,k_cut,140.0,0.007142857142857143,1.6205643740272233,1.7730337078651686,1.7730337078651686,1.7171052631578947,1.7082405345211582,1.5056179775280898,1.5782122905027933,1.4411764705882353
K1,wide,k_cut,150.0,0.006666666666666667,1.656715451229428,1.8333333333333333,1.6786516853932585,1.8333333333333333,1.7416481069042316,1.5617977528089888,1.606145251396648,1.518716577540107
K1,wide,k_cut,160.0,0.00625,1.7206467831358154,1.8793859649122806,1.746067415730337,1.8793859649122806,1.7928730512249442,1.6797752808988764,1.7150837988826815,1.5106951871657754
K1,wide,k_cut,167.0,0.005988023952095809,1.844027807897792,2.0153508771929824,1.946067415730337,2.0153508771929824,1.9910913140311803,1.7780898876404494,1.73463687150838,1.5989304812834224
K1,wide,k_cut,170.0,0.0058823529411764705,1.8675621888088019,2.1008771929824563,1.9797752808988764,2.1008771929824563,1.975501113585746,1.7584269662921348,1.7597765363128492,1.6310160427807487
K1,wide,k_cut,180.0,0.005555555555555556,2.0863591126311705,2.412280701754386,2.298876404494382,2.412280701754386,2.289532293986637,1.901685393258427,1.893854748603352,1.7219251336898396
K1,wide,k_cut,190.0,0.005263157894736842,2.3420157674406403,2.745614035087719,2.6786516853932585,2.745614035087719,2.6169265033407574,2.103932584269663,2.0754189944134076,1.8315508021390374
K1,wide,k_cut,200.0,0.005,2.5263727727998186,3.0,2.703370786516854,3.0,2.750556792873051,2.3707865168539324,2.2960893854748603,2.037433155080214
K1,wide,k_cut,210.0,0.004761904761904762,1.3910689114522192,2.651685393258427,0.31685393258426964,0.29385964912280704,0.3429844097995546,2.651685393258427,2.6340782122905027,2.106951871657754
K1,wide,k_cut,220.0,0.004545454545454545,1.4131743872622184,2.8707865168539324,0.1101123595505618,0.12719298245614036,0.1759465478841871,2.8707865168539324,2.7458100558659218,2.449197860962567
K1,wide,k_cut,230.0,0.004347826086956522,1.3604349841878662,3.5921787709497206,0.0696629213483146,0.08991228070175439,0.1291759465478842,3.241573033707865,3.5921787709497206,1.0401069518716577
K1,wide,k_cut,240.0,0.004166666666666667,0.1734986580507465,0.40106951871657753,0.006741573033707865,0.09210526315789473,0.07349665924276169,0.19662921348314608,0.2709497206703911,0.40106951871657753
K1,wide,k_cut,250.0,0.004,0.10930517296893728,0.28212290502793297,0.0044943820224719105,0.06140350877192982,0.0378619153674833,0.05337078651685393,0.28212290502793297,0.21657754010695188
K1,wide,k_cut,260.0,0.0038461538461538464,0.10667583651289671,0.25139664804469275,0.015730337078651686,0.06140350877192982,0.0400890868596882,0.08426966292134831,0.25139664804469275,0.18716577540106952
K1,wide,k_cut,270.0,0.003703703703703704,0.09935556244211925,0.20949720670391062,0.0044943820224719105,0.08552631578947369,0.06904231625835189,0.06179775280898876,0.20949720670391062,0.1657754010695187
K1,wide,k_cut,280.0,0.0035714285714285713,0.07727015288207793,0.2011173184357542,0.0044943820224719105,0.0043859649122807015,0.026726057906458798,0.047752808988764044,0.2011173184357542,0.17914438502673796
K1,wide,k_cut,290.0,0.0034482758620689655,0.07256031585907634,0.2011173184357542,0.0044943820224719105,0.019736842105263157,0.0334075723830735,0.0028089887640449437,0.2011173184357542,0.17379679144385027
K1,wide,k_cut,300.0,0.0033333333333333335,0.08182472774647465,0.18156424581005587,0.015730337078651686,0.02631578947368421,0.0935412026726058,0.0,0.18156424581005587,0.17379679144385027
K1,wide,k_cut,310.0,0.0032258064516129032,0.10389017389187795,0.19832402234636873,0.035955056179775284,0.08114035087719298,0.09131403118040089,0.056179775280898875,0.19832402234636873,0.16042780748663102
K1,wide,k_cut,320.0,0.003125,0.17954235130312216,0.3026315789473684,0.1752808988764045,0.3026315789473684,0.2026726057906459,0.02247191011235955,0.18435754189944134,0.18983957219251338
K1,wide,k_cut,330.0,0.0030303030303030303,0.23296500320165267,0.4166666666666667,0.2606741573033708,0.4166666666666667,0.34521158129175944,0.03651685393258427,0.16759776536312848,0.1711229946524064
K1,wide,k_cut,333.0,0.003003003003003003,0.22132114936234348,0.3574561403508772,0.25842696629213485,0.3574561403508772,0.3184855233853007,0.008426966292134831,0.18994413407821228,0.19518716577540107
K1,wide,k_cut,340.0,0.0029411764705882353,0.3737073243954529,0.6557017543859649,0.5573033707865168,0.6557017543859649,0.6369710467706013,0.042134831460674156,0.18435754189944134,0.1657754010695187
K1,wide,k_cut,350.0,0.002857142857142857,0.4586854124833049,0.7303370786516854,0.7303370786516854,0.581140350877193,0.7060133630289532,0.16573033707865167,0.36033519553072624,0.20855614973262032
K1,wide,k_cut,360.0,0.002777777777777778,1.784301460131933,3.3303370786516853,3.3303370786516853,3.2302631578947367,3.2761692650334076,0.2612359550561798,0.3324022346368715,0.27540106951871657
K1,wide,k_cut,370.0,0.002702702702702703,1.2959706343949042,2.492204899777283,2.0584269662921346,2.18640350877193,2.492204899777283,0.15168539325842698,0.4860335195530726,0.40106951871657753
